Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
67825,Peopleware: Productive Projects and Teams,Tom DeMarco,"DeMarco, Tom",Timothy R. Lister,"=""0932633439""","=""9780932633439""",4,4.13,"Dorset House Publishing Company, Incorporated",Paperback,245,1999,1987,2017/10/06,2017/05/07,,,read,,,,1,0
1753460,Principles of Economics,N. Gregory Mankiw,"Mankiw, N. Gregory",,"=""0324168624""","=""9780324168624""",5,4.09,Thomson South-Western,Hardcover,848,2003,1997,2017/06/11,2016/02/13,economics,economics (#3),read,,,,1,0
3839712,The Craft of Text Editing,Craig A. Finseth,"Finseth, Craig A.",,"=""1411682971""","=""9781411682979""",3,3.92,Lulu,Paperback,236,2006,1991,2017/05/30,2017/05/07,programming,programming (#67),read,,,,1,0
910789,The Elements of Computing Systems: Building a Modern Computer from First Principles,Noam Nisan,"Nisan, Noam",,"=""026214087X""","=""9780262140874""",3,4.54,MIT Press (MA),Hardcover,325,2005,2005,2017/04/13,2017/03/19,programming,programming (#66),read,,,,1,0
1069723,Secure Coding: Principles and Practices,Mark G. Graff,"Graff, Mark G.",Kenneth R. van Wyk,"=""0596002424""","=""9780596002428""",1,3.40,O'Reilly Media,Paperback,224,2003,2003,2016/11/24,2016/08/21,programming,programming (#61),read,,,,1,0
433443,"An Introduction to Information Theory: Symbols, Signals and Noise",John Robinson Pierce,"Pierce, John Robinson",,"=""0486240614""","=""9780486240619""",4,3.92,Dover Publications,Paperback,306,1980,1961,2016/10/02,2016/10/01,programming,programming (#60),read,,,,1,0
433567,Flatland: A Romance of Many Dimensions,Edwin A. Abbott,"Abbott, Edwin A.","Banesh Hoffmann, Giorgio Manganelli, Masolino d'Amico","=""048627263X""","=""9780486272634""",4,3.81,"Dover Publications, Inc.",Paperback,96,1992,1884,2010/10/19,2011/04/25,math,math (#3),read,,,,1,0
116185,Journey through Genius: The Great Theorems of Mathematics,William Dunham,"Dunham, William",,"=""014014739X""","=""9780140147391""",4,4.22,Penguin Books,Paperback,320,1991,1990,2014/04/14,2014/04/13,"own, math","own (#17), math (#2)",read,,,,1,0
3023,Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell,"Sowell, Thomas",,"=""0465081452""","=""9780465081455""",4,4.36,Basic Books,Hardcover,448,2003,2000,2015/09/30,2015/09/30,economics,economics (#1),read,,,,1,0
1741472,Programming Collective Intelligence: Building Smart Web 2.0 Applications,Toby Segaran,"Segaran, Toby",,"=""0596529325""","=""9780596529321""",0,4.07,O'Reilly Media,Paperback,362,2007,2002,,2012/09/09,on-hold,on-hold (#4),on-hold,,,,0,0
13136685,Learn C The Hard Way,Zed A. Shaw,"Shaw, Zed A.",,"=""""","=""""",0,4.03,,ebook,380,,2015,,2012/06/18,on-hold,on-hold (#5),on-hold,,,,0,0
86591,UNIX Power Tools,Jerry Peek,"Peek, Jerry","Jerry Peek, Tim O'Reilly, Mike Loukides","=""0596003307""","=""9780596003302""",0,4.16,O'Reilly Media,Paperback,1156,2002,1993,,2011/09/16,on-hold,on-hold (#3),on-hold,,,,0,0
112262,"Compilers: Principles, Techniques, and Tools",Alfred V. Aho,"Aho, Alfred V.","Monica S. Lam, Ravi Sethi, Jeffrey D. Ullman","=""0321486811""","=""9780321486813""",0,4.09,Addison Wesley,Hardcover,1009,2006,1986,,2011/09/04,"own, on-hold","own (#13), on-hold (#2)",on-hold,,,,0,1
6219481,SQL and Relational Theory: How to Write Accurate SQL Code,C.J. Date,"Date, C.J.",,"=""0596523068""","=""9780596523060""",4,3.76,O'Reilly Media,Paperback,428,2009,2009,2015/09/06,2015/08/22,"programming, own","programming (#52), own (#22)",read,,,,1,0
15499449,Game Programming Patterns,Robert Nystrom,"Nystrom, Robert",,"=""1430231505""","=""9781430231509""",3,4.50,Genever Benning,Paperback,300,2011,2011,2015/08/09,2015/07/14,programming,programming (#51),read,,,,1,0
69736,Thinking with Type,Ellen Lupton,"Lupton, Ellen",,"=""1568984480""","=""9781568984483""",3,4.10,Princeton Architectural Press,Paperback,176,2004,2004,2015/08/08,2015/08/07,programming,programming (#50),read,,,,1,0
20578310,Bitcoin for the Befuddled,Conrad Barski,"Barski, Conrad",Chris Wilmer,"=""1593275730""","=""9781593275730""",4,4.00,No Starch Press,Paperback,249,2014,2014,2015/04/12,2015/04/11,programming,programming (#47),read,,,,1,0
2047544,Data Compression Book,Mark Nelson,"Nelson, Mark",,"=""1558514341""","=""9781558514348""",4,4.03,Wiley,Paperback,576,1995,1991,2015/02/21,2015/02/20,programming,programming (#45),read,,,,1,0
772585,"Concepts, Techniques, and Models of Computer Programming",Peter Van Roy,"Roy, Peter Van",Seif Haridi,"=""0262220695""","=""9780262220699""",5,4.11,MIT Press,Hardcover,936,2004,2004,2014/11/23,2014/03/28,"programming, own","programming (#44), own (#15)",read,,,,1,0
3226758,Real World Haskell: Code You Can Believe In,Bryan O'Sullivan,"O'Sullivan, Bryan","John Goerzen, Donald Bruce Stewart","=""0596514980""","=""9780596514983""",4,3.93,O'Reilly Media,Paperback,720,2008,2008,2014/05/11,2013/06/30,programming,programming (#43),read,,,,1,0
17623632,Functional JavaScript: Introducing Functional Programming with Underscore.js,Michael Fogus,"Fogus, Michael",,"=""1449360726""","=""9781449360726""",4,4.07,O'Reilly Media,Paperback,260,2013,2013,2013/08/31,2013/08/11,programming,programming (#41),read,,,,1,0
13355765,Node.js in Action,Mike Cantelon,"Cantelon, Mike",T.J. Holowaychuk,"=""1617290572""","=""9781617290572""",3,3.87,Manning Publications,Paperback,416,2013,2011,2013/05/04,2013/05/04,programming,programming (#39),read,,,,1,0
17994,The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,Simon Singh,"Singh, Simon",,"=""0385495323""","=""9780385495325""",4,4.29,Anchor,Paperback,432,2000,1999,2013/04/21,2013/04/15,,,read,,,,1,0
62158,The Complete History of Jack the Ripper,Philip Sugden,"Sugden, Philip",,"=""1841193976""","=""9781841193977""",3,4.10,Robinson,Paperback,532,2006,1994,2013/03/30,2012/11/22,,,read,,,,1,0
9282423,Learn You a Haskell for Great Good!: A Beginner's Guide,Miran Lipovača,"Lipovača, Miran",,"=""1593272839""","=""9781593272838""",4,4.29,No Starch Press,Paperback,376,2011,2011,2013/02/03,2013/01/26,programming,programming (#38),read,,,,1,0
13366727,Working with UNIX Processes,Jesse Storimer,"Storimer, Jesse",,"=""""","=""""",3,4.07,,ebook,148,2012,2011,2013/01/05,2013/01/04,programming,programming (#37),read,,,,1,0
78378,Advanced Programming in the UNIX Environment,Stephen A. Rago,"Rago, Stephen A.",,"=""0201433079""","=""9780201433074""",4,4.33,Addison-Wesley Professional,Hardcover,927,2005,1992,2013/01/01,2012/08/31,programming,programming (#36),read,,,,1,0
13610343,NoSQL Distilled: A Brief Guide to the Emerging World of Polyglot Persistence,Pramod J. Sadalage,"Sadalage, Pramod J.",Martin Fowler,"=""0321826620""","=""9780321826626""",4,4.11,Addison-Wesley Professional,Paperback,192,2012,2012,2012/10/06,2012/10/01,programming,programming (#33),read,,,,1,0
15992715,An Introduction to Programming in Go,Caleb Doxsey,"Doxsey, Caleb",,"=""9781478355""","=""""",3,3.76,Creative  Commons  3.0,ebook,161,2012,2012,2012/09/13,2012/09/16,programming,programming (#31),read,,,,1,0
13073554,Lauren Ipsum,Carlos Bueno,"Bueno, Carlos",Ytaelena López,"=""""","=""""",3,3.89,Off-By-One Press,ebook,150,2011,2011,2012/09/07,2012/09/01,programming,programming (#32),read,,,,1,0
198207,Expert C Programming: Deep C Secrets,Peter van der Linden,"Linden, Peter van der",,"=""0131774298""","=""9780131774292""",3,4.33,Pearson,Paperback,384,1994,1994,2012/08/08,2012/07/01,programming,programming (#29),read,,,,1,0
